"issn","journal_name","max_projaidate","max_apcdate","proj_ai","price","category"
"0001-527X","acta biochimica polonica",2015,2013-01-01,0.396,1200,"blank"
"0003-0090","bulletin of the american museum of natural history",2015,2013-01-01,1.293,0,"blank"
"0005-1098","automatica",2015,2017-05-30,2.011,3100,"blank"
"0008-6223","carbon",2015,2017-05-22,2.031,3500,"blank"
"0010-0277","cognition",2015,2017-05-22,1.554,2150,"blank"
"0010-7824","contraception",2015,2017-05-22,0.655,3000,"blank"
"0010-9452","cortex",2015,2017-05-22,1.277,2800,"blank"
"0011-2240","cryobiology",2015,2017-05-22,0.415,2400,"blank"
"0011-2275","cryogenics",2015,2017-05-22,0.263,2200,"blank"
"0011-9164","desalination",2015,2017-05-22,1.606,3600,"blank"
"0012-3692","chest",2015,2017-05-22,1.325,3300,"blank"
"0015-704X","fordham law review",2015,2013-01-01,0.096,0,"blank"
"0016-2361","fuel",2015,2017-05-26,1.375,3600,"blank"
"0016-3287","futures",2015,2017-05-17,0.529,0,"blank"
"0016-5085","gastroenterology",2015,2017-05-26,1.299,3000,"blank"
"0016-6995","geobios",2015,2016-08-11,0.288,3000,"blank"
"0016-7061","geoderma",2015,2017-05-26,0.942,3000,"blank"
"0016-7169","geofisica internacional",2015,2013-01-01,0.078,0,"blank"
"0016-7185","geoforum",2015,2017-05-17,1.003,1800,"blank"
"0016-8092","georgetown law journal",2015,2013-01-01,0.323,0,"blank"
"0017-0011","ginekologia polska",2015,2017-05-14,0.127,449,"blank"
"0017-808X","harvard journal on legislation",2015,2013-01-01,0.078,0,"blank"
"0017-8322","hastings law journal",2015,2013-01-01,0.141,0,"blank"
"0018-2079","hiroshima mathematical journal",2015,2013-01-01,0.095,0,"blank"
"0019-1035","icarus",2015,2017-05-26,0.984,2750,"blank"
"0019-5413","indian journal of orthopaedics",2015,2017-05-14,0.233,0,"blank"
"0021-9150","atherosclerosis",2015,2017-05-22,1.109,3000,"blank"
"0022-1333","journal of genetics",2015,2013-01-01,0.298,0,"blank"
"0022-3859","journal of postgraduate medicine",2015,2013-01-01,0.263,0,"blank"
"0023-5954","kybernetika",2015,2013-01-01,0.159,0,"blank"
"0023-9356","buffalo law review",2015,2013-01-01,0.069,0,"blank"
"0024-1032","leprosy review",2015,2013-01-01,0.213,0,"blank"
"0024-3841","lingua",2015,2017-05-17,0.38,1800,"blank"
"0024-4937","lithos",2015,2017-05-24,1.198,3300,"blank"
"0025-7273","medical history",2015,2017-05-24,0.113,0,"blank"
"0026-1165","journal of the meteorological society of japan",2015,2017-05-24,0.375,766.19,"blank"
"0028-3770","neurochirurgie",2015,2016-08-11,0.137,3000,"blank"
"0028-3886","neurology india",2015,2017-05-23,0.156,0,"blank"
"0028-3908","neuropharmacology",2015,2017-05-23,1.465,2800,"blank"
"0028-3932","neuropsychologia",2015,2017-05-23,1.183,2300,"blank"
"0029-3571","northwestern university law review",2015,2017-05-17,0.158,0,"blank"
"0030-4387","orbis",2015,2016-08-11,0.128,1100,"blank"
"0030-6126","osaka journal of mathematics",2015,2013-01-01,0.144,0,"blank"
"0031-3025","pathology",2015,2017-05-23,0.342,2500,"blank"
"0031-9406","physiotherapy",2015,2017-05-31,0.725,2500,"blank"
"0031-9422","phytochemistry",2015,2017-05-22,0.896,3300,"blank"
"0032-3861","polymer",2015,2017-05-22,1.048,3200,"blank"
"0033-2879","psychologica belgica",2015,2017-05-16,0.361,0,"blank"
"0033-3182","psychosomatics",2015,2017-05-22,0.56,3000,"blank"
"0034-7744","revista de biologia tropical",2015,2017-05-22,0.143,0,"blank"
"0037-5330","silva fennica",2015,2017-05-22,0.464,0,"blank"
"0037-5675","singapore medical journal",2015,2012-01-01,0.203,0,"blank"
"0037-6575","singapore medical journal",2015,2013-01-01,0.203,0,"blank"
"0038-3910","southern california law review",2015,2013-01-01,0.435,0,"blank"
"0039-128X","steroids",2015,2017-05-22,0.646,3000,"blank"
"0039-6060","surgery",2015,2017-05-22,0.957,0,"blank"
"0039-9140","talanta",2015,2017-05-22,1.027,2600,"blank"
"0040-1951","tectonophysics",2015,2017-05-22,0.833,2800,"blank"
"0040-4020","tetrahedron",2015,2017-05-22,0.586,2200,"blank"
"0041-0101","toxicon",2015,2017-05-17,0.723,3300,"blank"
"0041-624X","ultrasonics",2015,2017-05-22,0.537,2600,"blank"
"0042-207X","vacuum",2015,2017-05-22,0.361,2200,"blank"
"0042-6822","virology",2015,2017-05-22,0.8,2150,"blank"
"0042-9686","bulletin of the world health organization",2015,2017-05-30,1.332,0,"blank"
"0043-0617","washington law review",2015,2017-05-16,0.082,0,"blank"
"0043-1648","wear",2015,2017-05-22,0.663,3000,"blank"
"0043-650X","wisconsin law review",2015,2012-01-01,0.074,0,"blank"
"0044-8486","aquaculture",2015,2017-05-22,0.663,3600,"blank"
"0045-6535","chemosphere",2015,2017-05-27,1.232,3200,"blank"
"0046-1121","ecology law quarterly",2015,2013-01-01,0.089,0,"blank"
"0065-1400","acta neurobiologiae experimentalis",2015,2013-01-01,0.47,0,"blank"
"0067-3064","baltica",2015,2012-01-01,0.163,0,"blank"
"0075-9511","limnologica",2015,2017-05-24,0.403,1500,"blank"
"0078-3234","oceanologia",2015,2017-05-23,0.279,0,"blank"
"0090-0656","fishery bulletin",2015,2013-01-01,0.349,0,"blank"
"0090-4295","urology",2015,2017-05-22,0.599,3000,"blank"
